sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,state,race,math_score,reading_score,writing_score,attendance_rate,suspensions,expulsions,teacher_support,counseling,social_worker_visits,parental_involvement
F,15,R,GT3,T,3,1,teacher,other,father,2,2,2,yes,yes,yes,no,no,yes,yes,yes,5,3,5,5,1,4,60,Florida,Asian,85,18,40,71.5,0,0,no,no,4,low
F,19,U,LE3,A,2,1,at_home,teacher,father,1,2,3,no,yes,no,yes,no,yes,yes,no,3,1,4,4,2,1,53,Florida,Other,100,14,29,88.03,2,0,no,yes,2,low
F,18,R,LE3,A,3,4,services,at_home,father,1,3,1,yes,no,no,yes,no,yes,no,yes,5,4,5,5,5,3,21,Texas,Hispanic,10,4,23,96.98,2,1,yes,yes,3,high
F,18,R,GT3,T,1,3,teacher,teacher,father,1,1,4,yes,no,yes,no,no,yes,yes,yes,1,3,2,5,2,1,62,California,Other,88,11,100,97.43,3,1,yes,yes,1,low
M,19,U,GT3,A,3,4,other,at_home,mother,4,4,1,yes,no,no,yes,yes,no,no,no,1,5,5,3,3,1,65,Texas,African American,25,22,11,95.53,0,1,yes,yes,0,low
M,17,U,LE3,A,0,3,services,teacher,other,1,3,1,yes,yes,yes,yes,no,yes,no,yes,5,3,1,3,4,4,57,Florida,Hispanic,9,48,43,76.59,2,1,yes,yes,3,medium
F,15,R,GT3,T,2,1,teacher,at_home,father,1,1,1,no,yes,no,no,no,no,no,yes,5,4,3,4,1,1,22,California,Hispanic,45,80,52,95.77,0,0,no,no,3,low
M,15,U,LE3,A,1,4,other,other,father,4,3,3,no,yes,no,yes,yes,yes,no,no,4,2,5,3,3,4,27,Texas,White,27,10,16,73.34,0,0,yes,yes,1,high
F,18,R,LE3,T,0,0,services,teacher,mother,2,2,1,no,yes,yes,no,no,no,yes,yes,2,4,1,2,1,3,15,Florida,African American,82,94,72,79.68,1,0,yes,no,1,medium
F,19,R,LE3,A,2,0,services,teacher,father,2,4,4,no,yes,yes,no,no,no,yes,no,2,4,2,1,2,5,23,California,African American,18,40,78,81.91,1,0,no,no,4,medium
M,15,U,GT3,A,4,3,teacher,other,father,2,4,3,yes,yes,no,no,yes,no,yes,yes,3,1,1,5,3,5,50,Texas,Hispanic,35,57,24,76.18,0,0,yes,yes,0,medium
M,15,R,LE3,A,1,3,at_home,teacher,father,3,3,4,yes,yes,no,no,yes,no,yes,yes,4,5,3,3,4,3,44,California,Hispanic,17,71,11,96.22,0,0,no,yes,1,high
M,17,U,LE3,A,3,1,services,other,mother,4,4,1,no,no,no,no,no,no,yes,yes,4,2,2,1,1,4,25,Texas,Asian,25,39,77,92.09,3,0,no,no,1,high
F,16,R,GT3,A,3,4,other,services,father,4,1,1,no,no,yes,no,no,no,no,yes,2,1,2,3,1,5,42,California,White,48,21,83,91.43,1,1,no,yes,3,medium
F,18,U,LE3,A,0,2,at_home,other,father,4,2,4,no,no,yes,yes,no,yes,no,yes,4,2,5,3,4,5,79,Florida,Hispanic,54,95,45,97.82,0,1,no,no,4,high
M,18,R,GT3,A,1,4,health,other,father,1,4,4,no,yes,yes,no,no,no,no,no,3,5,5,4,2,5,15,Florida,Other,7,9,48,92.83,0,0,no,yes,4,low
M,16,U,LE3,T,1,3,other,at_home,other,4,4,4,yes,yes,no,no,no,no,yes,yes,1,2,1,5,4,1,59,Texas,Asian,4,38,44,82.83,2,1,no,no,2,low
F,15,U,LE3,A,3,3,at_home,health,other,2,2,1,no,yes,no,yes,no,no,yes,yes,4,3,2,4,5,1,15,Florida,Hispanic,71,50,36,73.99,1,0,yes,no,0,high
F,17,R,LE3,T,3,1,teacher,services,mother,3,2,1,yes,no,yes,no,yes,no,yes,yes,1,2,5,3,5,1,67,Florida,African American,29,44,26,94.85,3,1,no,no,2,medium
M,17,R,LE3,A,4,3,health,other,other,1,2,4,yes,no,yes,yes,no,no,no,yes,3,3,4,1,2,3,42,Florida,White,7,69,29,91.41,3,1,yes,yes,4,medium
F,18,R,LE3,T,4,0,services,other,father,4,2,1,yes,no,no,no,no,yes,yes,no,3,5,1,5,5,3,23,California,Asian,35,98,24,88.17,1,1,no,yes,3,low
M,17,R,LE3,A,2,0,health,services,other,2,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,5,3,3,3,26,Florida,Other,73,74,91,92.35,1,0,no,no,3,low
M,16,R,GT3,T,0,2,other,other,father,2,3,3,yes,yes,yes,no,yes,yes,yes,yes,2,3,4,3,4,5,56,Florida,Asian,26,17,80,92.65,2,1,no,no,0,medium
F,15,R,LE3,A,1,2,health,teacher,father,1,1,4,no,no,yes,yes,yes,no,yes,yes,5,2,1,5,5,4,84,Florida,White,14,96,25,92.28,1,1,no,yes,4,low
F,16,U,GT3,T,4,1,teacher,at_home,father,1,4,3,yes,yes,no,no,yes,no,yes,no,4,2,4,5,3,5,12,Florida,White,83,40,70,83.62,1,1,yes,yes,3,medium
F,19,U,LE3,T,3,4,teacher,at_home,mother,4,4,2,no,yes,yes,yes,no,no,no,yes,4,2,3,2,2,5,72,Texas,Asian,37,76,46,86.03,1,1,yes,yes,1,low
M,18,U,LE3,T,4,2,services,at_home,father,3,1,4,no,no,yes,no,no,no,yes,yes,2,4,5,5,2,2,43,California,Other,81,68,38,94.1,3,1,yes,no,0,medium
F,17,R,LE3,T,0,4,other,health,mother,2,4,3,yes,yes,no,no,yes,yes,yes,no,2,3,4,2,2,4,22,Texas,Asian,38,52,83,97.87,0,1,no,yes,1,low
F,19,R,LE3,T,1,1,at_home,at_home,father,2,3,3,no,no,yes,no,yes,yes,yes,yes,5,5,5,3,1,5,61,Texas,African American,75,63,7,85.48,2,1,no,yes,4,low
F,17,R,GT3,T,1,0,other,teacher,father,4,4,2,no,yes,no,no,no,yes,no,yes,1,1,3,4,4,1,81,Texas,Asian,42,99,27,90.79,3,1,no,yes,4,high
M,15,R,GT3,A,2,2,teacher,at_home,other,3,3,1,yes,yes,no,no,yes,yes,no,no,1,5,2,4,5,4,47,California,Hispanic,81,45,14,85.22,0,1,yes,no,1,high
F,15,U,GT3,T,1,1,other,teacher,mother,2,3,1,yes,yes,yes,yes,no,yes,yes,no,4,5,5,4,5,1,61,Texas,Hispanic,34,24,80,82.51,1,0,no,no,2,medium
M,15,U,GT3,T,1,1,other,health,other,4,4,1,no,no,yes,yes,no,no,yes,yes,3,3,1,5,3,5,4,Texas,Other,50,67,90,93.42,2,0,no,no,0,low
F,17,U,LE3,A,4,3,at_home,at_home,other,4,2,3,no,no,no,no,yes,yes,no,no,2,1,5,1,4,4,84,Florida,Hispanic,37,46,25,74.43,0,1,yes,no,1,medium
F,19,U,LE3,A,0,4,health,health,father,3,4,1,yes,yes,no,no,yes,yes,no,yes,1,4,4,1,5,1,92,Florida,Hispanic,90,28,52,83.34,3,0,no,yes,1,low
M,15,U,LE3,A,1,3,other,at_home,mother,3,2,3,yes,no,yes,no,yes,no,yes,no,1,2,3,1,2,2,32,California,Asian,71,23,14,87.65,2,1,no,yes,2,medium
M,19,U,LE3,A,4,4,other,health,father,3,4,1,no,no,no,yes,no,no,yes,yes,5,2,5,5,2,2,9,California,Asian,34,84,54,91.24,3,1,yes,yes,3,medium
M,17,R,GT3,A,1,0,other,at_home,mother,1,3,2,no,no,yes,no,no,no,yes,no,2,4,5,4,2,3,20,Florida,White,51,57,12,96.53,1,0,yes,yes,0,medium
M,19,U,LE3,A,4,0,health,other,father,1,3,4,no,yes,no,no,no,no,no,yes,3,2,1,5,1,2,51,Texas,Hispanic,95,74,19,74.84,2,1,no,yes,2,low
M,17,R,GT3,A,4,0,at_home,other,father,3,4,3,yes,no,no,yes,no,no,no,yes,4,3,4,4,3,2,49,Texas,Hispanic,8,26,80,82.43,3,0,no,no,1,medium
M,17,R,LE3,A,2,1,other,other,father,3,4,1,no,no,no,yes,yes,yes,yes,no,1,4,1,5,5,5,5,Florida,White,43,47,88,76.82,1,0,yes,yes,3,medium
M,18,U,GT3,T,3,3,teacher,services,other,1,2,4,no,yes,yes,yes,no,no,yes,yes,5,2,1,2,4,1,83,Florida,White,7,100,84,86.45,2,0,yes,no,4,high
M,17,U,LE3,A,4,0,at_home,other,father,2,3,2,no,no,yes,no,no,yes,yes,yes,2,3,3,3,5,4,75,Texas,Other,71,40,7,76.14,1,1,yes,yes,3,low
M,17,R,GT3,T,3,3,health,at_home,mother,1,1,2,yes,yes,no,yes,yes,yes,yes,no,1,1,2,5,5,3,11,Florida,White,0,73,16,77.19,3,0,yes,yes,4,high
M,16,U,GT3,T,4,3,health,teacher,mother,1,2,4,yes,yes,no,yes,no,no,yes,no,3,4,4,2,4,5,57,Texas,White,24,10,99,73.64,3,1,yes,yes,2,high
M,15,R,LE3,A,4,0,health,health,mother,1,4,1,yes,yes,no,yes,no,no,yes,no,1,4,4,1,5,5,57,Florida,Hispanic,70,42,33,86.95,1,0,no,no,4,high
M,18,U,GT3,A,3,2,at_home,services,mother,1,2,2,yes,no,yes,no,no,yes,no,no,3,3,4,1,3,4,12,Florida,African American,31,72,47,94.03,2,1,yes,no,4,medium
M,18,U,GT3,T,1,1,other,services,mother,3,4,3,no,no,yes,no,yes,no,no,yes,3,4,5,2,1,1,83,Florida,Other,61,2,9,73.76,3,1,no,yes,1,medium
F,18,U,LE3,A,2,3,other,services,father,3,3,2,no,yes,yes,yes,yes,no,no,yes,2,1,4,4,1,2,93,Texas,Other,9,48,94,93.81,0,0,yes,no,4,low
M,16,R,GT3,T,0,4,at_home,services,mother,3,3,4,no,no,yes,no,no,no,no,no,2,1,3,1,1,1,84,California,Asian,99,48,77,98.96,1,0,no,yes,4,low
M,17,R,GT3,T,1,0,health,other,father,4,4,2,yes,yes,no,yes,yes,no,yes,yes,3,4,3,2,3,4,6,Texas,Other,85,43,74,84.34,3,1,no,yes,0,low
F,15,U,GT3,A,0,4,health,health,other,1,3,2,no,no,yes,no,no,no,yes,yes,3,4,1,1,2,2,35,Florida,White,16,5,74,86.05,3,1,no,no,1,low
F,19,R,GT3,T,1,1,health,services,other,4,1,4,yes,yes,no,yes,no,yes,no,yes,3,2,3,1,1,4,90,Texas,Other,10,47,28,92.86,1,1,no,yes,2,low
M,17,R,LE3,A,1,4,health,other,mother,3,4,4,yes,no,no,yes,no,no,yes,yes,2,5,4,1,5,2,79,California,Other,46,88,15,92.54,1,1,no,yes,2,high
M,16,R,LE3,T,3,0,at_home,at_home,father,4,3,1,no,no,no,yes,no,yes,yes,no,1,1,4,1,3,5,60,Florida,Asian,55,70,100,73.24,0,0,no,yes,2,low
M,17,R,GT3,T,2,0,at_home,other,father,2,2,4,no,yes,no,no,yes,no,no,no,5,5,1,2,5,5,37,Florida,Asian,40,26,18,94.85,1,0,no,yes,2,low
F,17,R,GT3,A,2,2,health,health,mother,2,2,4,yes,yes,yes,yes,no,yes,yes,yes,2,1,4,1,5,2,63,Texas,Other,15,49,85,73.28,0,1,no,yes,3,medium
F,16,U,LE3,T,0,2,teacher,other,mother,3,2,4,yes,no,no,no,no,no,no,yes,1,3,2,2,5,5,49,Florida,Hispanic,24,85,23,86.99,1,0,yes,no,0,medium
M,18,R,GT3,T,2,3,health,services,father,3,4,1,yes,yes,no,yes,no,no,no,no,3,1,4,2,3,2,35,California,White,29,82,42,85.08,2,0,no,yes,1,high
M,18,U,LE3,A,2,4,teacher,at_home,mother,1,4,4,yes,yes,no,no,no,no,yes,yes,3,2,3,2,4,4,75,California,White,75,93,55,94.82,2,0,yes,no,1,medium
F,15,R,GT3,T,1,0,teacher,other,mother,2,3,3,no,no,no,yes,yes,no,yes,no,1,3,2,1,3,4,58,Florida,White,40,85,38,74.07,1,1,no,no,3,medium
F,15,U,LE3,T,0,3,services,services,other,4,1,3,yes,yes,no,no,yes,yes,yes,yes,5,5,2,5,5,1,54,Florida,Asian,60,22,8,89.35,3,1,no,yes,1,medium
F,18,U,GT3,T,0,1,at_home,teacher,other,1,1,4,no,yes,no,yes,no,yes,no,yes,5,3,1,2,3,4,21,Texas,White,48,75,92,96.85,3,1,yes,no,2,high
M,19,U,LE3,T,4,1,teacher,services,other,2,2,2,yes,no,no,no,no,yes,no,yes,4,2,5,1,4,3,79,Florida,Hispanic,89,65,47,86.57,1,0,yes,yes,3,high
M,17,U,LE3,T,1,0,services,other,mother,1,2,4,no,yes,no,no,yes,no,yes,yes,1,2,4,3,3,2,23,California,White,89,28,32,95.98,2,0,yes,no,2,high
M,19,R,GT3,T,4,3,health,at_home,mother,1,2,1,no,no,no,yes,yes,yes,no,no,4,2,1,1,3,3,23,Texas,Asian,75,92,41,96.5,0,1,no,no,3,medium
M,17,U,LE3,T,4,1,services,services,father,1,2,4,yes,no,no,no,no,no,no,yes,4,2,5,3,1,1,9,Texas,Hispanic,41,13,90,77.59,3,0,no,yes,2,medium
F,18,U,GT3,T,0,0,other,services,other,4,3,2,no,no,yes,yes,yes,no,yes,no,4,4,2,1,5,5,93,Florida,Other,62,72,91,96.4,0,0,no,yes,4,high
F,15,U,GT3,T,1,2,teacher,services,father,2,4,3,yes,no,no,yes,yes,yes,yes,yes,1,1,3,2,5,1,76,California,African American,94,89,33,90.47,1,0,yes,yes,1,low
F,15,R,LE3,T,1,3,at_home,services,mother,4,4,1,yes,no,no,no,yes,yes,yes,yes,3,5,5,3,3,3,57,Florida,Hispanic,25,28,44,95.82,0,1,no,yes,0,high
M,19,R,GT3,T,2,1,health,services,father,4,1,3,no,yes,no,no,yes,yes,no,no,2,5,3,3,2,1,89,Florida,Asian,37,4,35,77.93,0,1,yes,yes,2,high
F,15,R,GT3,A,0,1,at_home,other,father,4,1,4,no,yes,yes,yes,no,no,no,no,3,2,2,2,3,2,4,Texas,Hispanic,27,85,31,81.36,1,0,yes,no,1,high
M,18,R,GT3,T,0,0,services,services,mother,4,1,1,no,no,no,yes,yes,yes,no,no,2,3,4,5,5,5,48,California,Hispanic,69,58,81,88.08,1,0,no,yes,1,high
M,19,R,GT3,A,3,4,other,other,mother,4,3,2,yes,no,yes,no,no,no,no,no,4,4,5,5,2,3,51,Florida,Asian,0,92,25,92.62,0,0,yes,yes,3,high
F,17,R,LE3,A,4,3,health,other,other,2,1,4,no,yes,yes,no,no,no,yes,yes,1,2,3,2,2,4,38,Texas,African American,65,76,79,99.48,2,1,no,no,1,high
F,15,U,GT3,A,2,0,services,teacher,other,2,2,1,yes,yes,yes,yes,yes,yes,yes,no,4,1,4,5,2,3,0,Texas,Other,90,17,95,72.05,0,1,no,yes,4,high
M,16,R,LE3,T,0,1,teacher,services,other,4,4,4,yes,yes,no,yes,yes,no,no,no,2,2,5,1,4,1,80,Texas,Asian,41,70,32,86.25,3,1,yes,no,3,medium
F,15,U,GT3,T,1,0,health,services,other,2,4,4,yes,no,no,no,no,no,yes,no,1,5,2,2,5,5,77,Texas,Other,7,76,87,86.44,2,0,yes,no,1,high
M,17,R,GT3,A,1,2,other,other,mother,2,2,2,yes,no,no,no,yes,yes,no,no,5,2,3,1,1,3,22,Texas,Other,49,60,42,97.18,0,1,no,no,2,high
F,19,R,LE3,T,2,3,other,teacher,other,3,2,1,no,yes,no,yes,no,yes,no,yes,5,2,5,3,5,4,18,Texas,White,9,47,5,77.08,3,1,yes,no,3,high
F,17,R,LE3,T,2,1,teacher,other,mother,3,2,2,no,no,yes,yes,yes,yes,no,no,1,5,1,5,3,5,26,California,Hispanic,72,99,51,74.78,2,0,yes,yes,0,low
F,16,U,GT3,A,4,0,services,teacher,mother,3,4,1,yes,yes,yes,yes,no,no,no,yes,4,2,1,1,1,1,17,Florida,African American,51,84,59,84.47,3,0,no,no,0,medium
F,18,R,LE3,T,3,2,services,at_home,other,1,1,1,yes,no,yes,no,yes,yes,yes,no,2,4,1,5,5,1,89,Florida,Other,10,91,77,91.78,1,1,no,no,1,low
F,15,R,GT3,A,4,1,health,health,other,4,4,1,no,no,yes,no,no,yes,yes,yes,4,5,1,4,1,5,29,Florida,Other,3,43,83,99.16,0,1,no,no,4,high
F,19,U,LE3,A,1,4,other,health,mother,4,2,4,yes,yes,yes,yes,no,no,no,no,4,1,3,1,4,1,79,California,Hispanic,29,37,89,87.15,1,0,no,no,4,high
F,18,U,LE3,T,2,3,teacher,at_home,mother,1,4,4,yes,no,no,no,yes,no,no,yes,4,2,4,3,5,4,52,California,White,36,2,77,91.77,2,1,no,yes,4,medium
F,17,R,GT3,A,1,2,other,at_home,mother,1,4,4,no,no,no,no,yes,no,no,no,3,2,2,5,5,1,68,Texas,White,90,27,58,78.35,3,1,no,no,0,high
F,19,R,LE3,A,3,0,other,other,father,4,4,4,yes,no,no,no,no,yes,no,no,1,5,4,3,2,1,7,Florida,African American,16,53,43,90.29,3,1,yes,yes,1,medium
F,18,U,LE3,T,4,2,services,other,father,3,2,2,yes,yes,yes,no,yes,no,yes,yes,5,3,2,1,4,1,31,California,White,8,44,23,77.28,1,1,no,no,0,low
F,19,U,LE3,A,1,1,health,services,mother,1,2,1,no,no,yes,yes,no,yes,yes,yes,1,3,3,5,4,5,63,California,African American,5,85,70,84.87,1,1,yes,yes,1,low
F,16,R,GT3,A,4,1,other,other,other,4,4,1,no,no,no,no,no,no,yes,no,4,5,4,2,4,3,43,Florida,African American,92,42,66,71.4,2,1,no,no,0,low
M,16,U,GT3,T,3,4,services,health,other,1,4,2,no,yes,yes,no,yes,no,no,yes,3,2,4,3,5,3,55,California,Other,68,32,39,79.71,2,0,yes,no,2,low
F,15,R,GT3,T,1,2,services,other,other,3,1,1,yes,no,yes,no,no,no,no,no,2,5,5,2,4,1,67,California,African American,48,12,89,93.45,0,1,no,no,3,high
F,15,R,LE3,T,0,0,teacher,other,other,4,3,4,yes,no,yes,no,no,yes,yes,no,2,4,2,2,1,2,10,California,Asian,0,40,19,72.03,2,0,no,no,3,medium
M,16,R,GT3,T,0,3,teacher,at_home,other,2,2,4,no,no,yes,no,no,yes,no,no,2,3,3,1,2,4,36,Florida,African American,17,56,24,79.56,2,1,yes,yes,0,medium
M,19,U,GT3,T,0,3,teacher,services,father,3,1,3,no,yes,no,no,yes,yes,yes,no,2,3,3,3,3,2,57,Florida,African American,13,100,93,75.12,2,1,no,yes,1,low
F,16,R,LE3,A,0,4,other,at_home,father,3,4,4,no,yes,no,no,no,no,yes,yes,5,3,4,1,2,3,1,Texas,Asian,11,4,31,88.82,2,0,no,yes,1,medium
F,15,U,LE3,A,1,2,teacher,health,other,4,2,1,no,yes,no,yes,yes,yes,no,yes,1,3,2,4,4,4,5,California,Hispanic,67,99,70,92.31,1,0,yes,no,4,low
F,16,U,LE3,A,4,1,at_home,at_home,other,1,4,4,yes,yes,no,no,yes,no,yes,yes,5,5,4,4,5,3,31,Texas,White,71,7,51,73.3,1,0,no,no,4,medium
M,16,R,GT3,A,4,2,teacher,services,other,1,2,3,no,no,yes,yes,no,no,no,yes,1,4,2,5,1,5,17,Texas,White,69,65,84,85.69,3,0,no,yes,0,medium
M,19,U,GT3,A,0,0,other,health,father,2,4,2,no,no,yes,no,no,no,no,yes,4,4,4,3,2,2,88,California,White,59,43,20,90.44,2,1,no,no,1,low
F,18,U,GT3,T,1,3,other,health,mother,1,1,4,yes,yes,yes,no,yes,no,yes,yes,1,5,3,5,1,4,39,California,Hispanic,83,42,48,99.7,1,0,no,yes,2,high
M,15,R,LE3,T,1,4,teacher,other,mother,3,2,4,yes,no,no,no,yes,no,yes,yes,5,4,3,5,5,4,39,Texas,Asian,86,80,22,76.54,0,0,no,no,3,medium
M,19,R,GT3,T,1,4,other,other,other,4,2,4,yes,no,no,no,yes,no,yes,yes,3,4,5,4,2,4,80,Florida,White,80,3,63,72.21,3,0,yes,no,1,high
M,16,U,LE3,A,2,3,services,services,mother,4,3,3,no,yes,no,yes,no,no,no,no,4,3,3,4,5,4,65,Florida,White,64,18,11,77.74,1,1,no,yes,4,low
M,16,U,GT3,T,3,3,health,at_home,other,4,3,1,yes,no,no,no,no,no,yes,yes,3,5,1,3,2,4,21,California,African American,52,33,67,86.82,2,0,yes,yes,0,high
F,18,R,LE3,T,0,1,health,health,other,2,1,1,yes,no,yes,no,no,yes,yes,yes,5,2,4,5,5,3,36,Texas,Hispanic,38,61,82,88.99,2,0,yes,yes,1,high
M,15,R,LE3,T,2,1,other,other,father,2,2,2,no,yes,yes,yes,no,no,yes,yes,4,5,1,5,2,1,32,California,White,48,80,4,81.36,3,0,yes,yes,1,high
F,15,U,LE3,T,4,1,at_home,at_home,other,3,2,4,no,no,no,yes,yes,yes,yes,no,5,5,5,1,3,4,19,Florida,Hispanic,77,88,64,83.02,1,1,yes,no,0,high
M,17,U,LE3,T,3,3,other,health,other,4,4,1,no,no,no,yes,yes,no,no,yes,3,4,3,1,5,1,39,Texas,White,1,4,94,86.44,3,0,yes,yes,2,medium
M,15,R,LE3,T,3,2,other,at_home,other,2,4,1,yes,yes,yes,yes,yes,yes,no,no,5,3,2,4,3,5,11,Florida,White,15,80,63,74.67,0,1,no,no,3,low
M,18,R,GT3,A,1,0,teacher,teacher,father,4,4,4,yes,no,no,yes,yes,yes,no,no,3,5,2,3,1,5,48,California,White,47,10,42,98.86,3,1,no,no,2,medium
M,17,R,LE3,T,4,0,other,at_home,father,2,3,2,yes,no,yes,no,no,no,no,no,3,3,5,5,1,4,52,Texas,Asian,44,57,47,90.2,3,1,yes,yes,2,high
F,17,U,GT3,T,1,4,services,health,mother,4,4,1,yes,yes,yes,yes,yes,yes,no,yes,3,3,3,5,5,2,59,Texas,African American,25,15,1,85.64,0,1,yes,yes,4,high
F,16,U,LE3,T,1,3,health,health,father,1,2,2,yes,yes,no,yes,no,no,yes,no,1,2,2,4,1,2,65,California,Asian,10,79,65,91.96,2,1,yes,yes,3,high
M,16,U,LE3,A,0,4,services,teacher,father,3,1,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,4,4,2,27,Texas,Hispanic,54,69,74,72.97,0,1,no,no,2,low
M,15,R,LE3,A,3,1,services,at_home,other,2,1,4,no,yes,yes,yes,yes,no,no,no,2,2,2,5,2,2,82,California,African American,96,81,72,93.6,2,0,yes,no,1,low
F,17,U,LE3,T,4,2,services,services,father,2,1,4,yes,no,yes,yes,yes,yes,no,no,4,5,3,4,1,3,55,Texas,Other,12,2,66,75.78,2,1,no,no,1,medium
M,16,R,LE3,T,2,0,at_home,health,father,2,1,3,yes,yes,yes,yes,yes,yes,yes,no,1,3,5,5,1,3,10,Florida,Asian,26,17,32,72.4,0,0,no,yes,4,low
F,18,R,GT3,T,0,1,at_home,health,other,1,3,4,yes,no,yes,no,yes,yes,no,no,4,1,5,5,5,2,42,Florida,African American,61,6,22,96.54,2,0,no,yes,3,high
M,16,U,LE3,T,0,2,teacher,health,other,1,1,2,no,no,yes,yes,yes,no,yes,yes,5,1,4,4,2,5,57,Texas,White,11,74,81,91.08,1,1,no,no,0,high
F,16,R,LE3,T,1,2,teacher,teacher,other,1,4,2,no,yes,yes,yes,yes,no,no,no,1,2,5,2,2,4,87,Florida,White,100,46,61,71.15,1,1,no,no,1,high
M,17,U,GT3,T,3,2,other,services,mother,4,4,3,yes,no,no,no,yes,no,yes,yes,5,5,3,5,2,2,53,Florida,Asian,62,14,73,97.95,3,0,no,no,0,high
F,17,R,LE3,T,3,3,other,teacher,mother,4,1,2,no,yes,no,no,no,yes,yes,no,2,4,2,1,2,5,6,California,African American,2,100,58,99.94,1,1,no,no,4,high
F,19,U,LE3,A,0,0,health,teacher,father,3,1,2,no,yes,yes,no,yes,no,no,yes,3,4,5,1,4,4,8,California,Asian,3,61,94,88.56,3,1,yes,no,1,low
M,18,R,LE3,A,0,0,health,other,other,4,4,1,no,yes,yes,no,yes,yes,no,no,1,5,2,3,4,3,67,California,Other,14,77,79,74.39,1,1,no,no,1,medium
M,17,U,LE3,A,1,4,services,at_home,other,1,2,4,no,yes,no,no,yes,no,yes,yes,1,2,4,4,3,1,63,Florida,Hispanic,91,22,26,85.49,1,1,no,yes,2,low
F,15,U,GT3,A,0,4,services,services,father,2,1,4,yes,yes,no,yes,no,no,no,yes,2,2,5,5,2,3,62,California,Asian,46,35,67,90.32,1,1,yes,yes,4,high
F,18,R,GT3,T,2,0,at_home,at_home,other,2,4,1,yes,yes,no,no,no,no,yes,yes,3,5,1,3,4,2,58,Texas,Hispanic,77,16,42,75.55,1,0,yes,yes,4,low
M,18,U,GT3,A,0,1,other,other,mother,2,3,4,yes,yes,yes,no,no,no,no,no,4,4,2,3,5,5,8,Texas,African American,23,21,53,81.62,2,1,yes,yes,2,medium
M,17,R,LE3,T,3,1,services,teacher,other,3,4,4,no,yes,yes,no,no,no,no,no,3,3,5,4,3,4,11,Florida,Other,40,23,64,73.27,3,0,no,no,4,medium
M,18,R,LE3,A,4,0,services,teacher,other,3,2,4,no,yes,yes,yes,yes,no,yes,yes,2,5,3,4,3,1,57,California,Asian,69,26,45,87.42,3,0,no,yes,2,low
M,17,U,LE3,A,1,4,teacher,health,father,1,4,4,yes,no,yes,no,yes,no,no,no,3,1,2,4,3,4,48,Texas,African American,74,16,11,80.3,2,0,no,yes,2,high
M,16,U,GT3,T,4,4,other,services,other,3,2,4,no,no,no,no,yes,yes,yes,yes,2,5,1,3,5,2,10,Texas,Asian,92,22,54,80.58,1,1,yes,no,2,high
M,19,R,GT3,A,0,1,health,health,father,2,3,1,no,yes,no,yes,no,yes,no,yes,5,4,2,5,3,3,65,Texas,White,15,70,57,83.8,0,0,no,yes,3,low
M,16,R,LE3,T,4,3,teacher,services,other,1,4,1,no,no,yes,yes,yes,yes,yes,yes,4,4,2,4,5,1,37,Texas,African American,76,0,8,77.59,0,1,no,no,1,medium
F,17,U,LE3,T,1,0,other,health,mother,4,3,2,yes,yes,no,yes,no,no,no,no,2,4,1,2,4,3,66,California,Other,74,49,92,88.51,0,1,no,no,1,medium
M,17,U,GT3,A,2,3,other,other,mother,3,1,2,yes,no,no,no,yes,no,no,no,2,4,2,3,4,2,6,Florida,African American,97,62,45,90.15,3,0,no,yes,1,low
M,16,U,GT3,A,2,3,other,other,mother,3,4,4,yes,yes,yes,yes,yes,no,yes,no,5,2,3,1,5,3,25,Texas,Other,81,49,36,77.53,2,0,no,yes,3,medium
F,15,R,LE3,A,4,2,health,teacher,mother,4,3,2,yes,no,yes,yes,no,yes,yes,yes,5,2,1,4,2,4,75,Florida,White,56,90,64,93.12,0,0,no,no,1,low
M,15,R,GT3,A,1,2,at_home,other,mother,4,1,4,yes,yes,yes,no,no,yes,no,no,1,3,2,3,2,5,79,Texas,White,40,97,82,71.61,1,0,yes,yes,2,low
M,15,U,GT3,A,4,1,health,at_home,mother,4,3,1,yes,no,no,no,no,no,yes,no,1,4,3,4,5,4,55,Texas,Hispanic,46,36,76,90.75,3,1,yes,yes,0,low
M,17,U,GT3,A,3,4,at_home,other,other,4,3,2,yes,no,yes,no,no,yes,no,no,3,2,2,2,1,5,62,Texas,Hispanic,45,14,63,83.04,0,1,yes,no,0,medium
F,18,R,LE3,A,4,2,at_home,health,father,1,2,2,no,no,yes,no,no,yes,yes,no,1,1,5,3,1,2,25,Florida,White,73,55,72,88.65,3,0,no,yes,1,low
M,17,U,LE3,A,1,0,health,health,other,3,3,4,no,yes,no,no,yes,yes,no,yes,3,5,5,4,3,1,57,Florida,White,61,81,21,81.94,2,0,yes,no,4,high
F,18,U,LE3,T,2,2,at_home,teacher,other,3,3,1,yes,no,no,no,yes,yes,yes,yes,3,3,4,2,4,4,26,Florida,Hispanic,35,55,24,81.33,0,0,no,yes,1,medium
F,16,U,LE3,A,3,3,other,services,mother,1,3,3,yes,yes,yes,no,no,yes,yes,yes,2,3,1,4,3,2,68,Florida,Hispanic,29,67,8,74.31,0,1,yes,no,3,medium
